Variable,Definition,
shotID,Unique id for each shot,
homeTeamCode,"The home team in the game. For example: TOR, MTL, NYR, etc",
awayTeamCode,The away team in the game,
season,Season the shot took place in. Example: 2009 for the 2009-2010 season,
isPlayoffGame,"Set to 1 if a playoff game, otherwise 0",
game_id,The NHL Game_id of the game the shot took place in,
homeTeamWon,Set to 1 if the home team won the game. Otherwise 0.,
id,The event # of the shot in the game,
time,Seconds into the game of the shot,
timeUntilNextEvent,Time between the shot and the next event that happens in the game after the shot,
timeSinceLastEvent,Time between the shot and the event that took place before the shot,
period,Period of the game,
team,The team taking the shot. HOME or AWAY,
location,"The zone the shot took place in. HOMEZONE, AWAYZONE, or Neu. Zone",
event,"Whether the shot was a shot on goal (SHOT), goal, (GOAL), or missed the net (MISS)",
goal,Set to 1 if shot was a goal. Otherwise 0,
shotPlayContinuedOutsideZone,"Set to 1 if play continued after the shot. (not a goal, goalie stop, or out of play), but the next event was outside of the attacking zone. Otherwise 0.",
shotPlayContinuedInZone,"Set to 1 if play continued after the shot. (not a goal, goalie stop, or out of play) and the next event was inside the attacking zone. Otherwise 0.",
shotGoalieFroze,Set to 1 if the goalie froze the puck within 1 second of the shot. Otherwise 0,
shotPlayStopped,"Set to 1 if the play stopped after the shot for a reason beyond a goalie freeze. (Puck went outside the playing surface, dislodged net, etc). Otherwise 0",
shotGeneratedRebound,Set to 1 if the shot generated a rebound shot within 3 seconds of the this shot.,
homeTeamGoals,Home team goals before the shot took place,
awayTeamGoals,Away team goals before the shot took palce,
xCord,"The X coordinate ""North South"" on the ice of the shot. Feet from red line.  -89 and 89 are the goal lines at each of the rink",
yCord,"The Y coordinate  ""East West"" on the ice of the shot. The middle of the ice has a y-coordinate of 0",
xCordAdjusted,Adjusts the x coordinate as if all shots were at the right end of the rink. Usually makes the coordinate a positive number,
yCordAdjusted,Adjusts the y coordinate as if all shots were at the right end of the rink.,
shotAngle,The angle of the shot in degrees. Is a positive number if the shot is from the left side of the ice. ,
shotAngleAdjusted,The absolute value of the shot angle,
